run,scale,total_lde_elements,lde_rows,trace_rows,trace_root,proof_bytes,proof_fnv,verify,cpu_lde_ms,witness_io_ms,h2d_ms,gpu_trace_ms,gpu_inverse_ntt_ms,gpu_coset_ms,gpu_forward_ntt_ms,gpu_trace_merkle_ms,gpu_composition_ms,gpu_fri_merkle_ms,gpu_fri_fold_ms,gpu_openings_ms,d2h_compact_ms,serialization_ms,verification_ms,file_io_ms,total_ms
1,20,1048576,16384,2048,"0x497e153d6e9d6e2a;0x44105c9bf84e6af1;0x72fb0e27747412d1;0x59d0f6e5ccb64a56",539516,1a0614193dbbff79,1,0,0.000,3.114,23.206,0.480,0.053,0.815,14.180,0.192,47.125,0.320,0.084,0.227,0.369,148.265,0.119,241.120
2,20,1048576,16384,2048,"0x497e153d6e9d6e2a;0x44105c9bf84e6af1;0x72fb0e27747412d1;0x59d0f6e5ccb64a56",539516,1a0614193dbbff79,1,0,0.000,1.319,26.585,0.283,0.022,0.459,12.620,0.190,47.323,0.320,0.084,0.216,0.376,148.446,0.081,240.775
3,20,1048576,16384,2048,"0x497e153d6e9d6e2a;0x44105c9bf84e6af1;0x72fb0e27747412d1;0x59d0f6e5ccb64a56",539516,1a0614193dbbff79,1,0,0.000,1.281,27.316,0.285,0.022,0.463,13.231,0.190,47.273,0.319,0.089,0.215,0.259,148.965,0.082,242.389
1,21,2097152,32768,4096,"0x4d7c912463e58c43;0x523a139f67bfa0ea;0xa64bbf1b54c93fae;0x647111ba27f673ad",607644,55834c3b594ea9a9,1,0,0.000,2.820,39.216,0.684,0.088,1.740,16.265,0.276,55.208,0.363,0.098,0.299,0.410,167.827,0.134,288.322
2,21,2097152,32768,4096,"0x4d7c912463e58c43;0x523a139f67bfa0ea;0xa64bbf1b54c93fae;0x647111ba27f673ad",607644,55834c3b594ea9a9,1,0,0.000,1.034,43.505,0.317,0.029,0.621,15.660,0.264,55.396,0.363,0.093,0.237,0.407,167.954,0.101,288.962
3,21,2097152,32768,4096,"0x4d7c912463e58c43;0x523a139f67bfa0ea;0xa64bbf1b54c93fae;0x647111ba27f673ad",607644,55834c3b594ea9a9,1,0,0.000,1.042,43.362,0.317,0.028,0.627,15.711,0.265,55.309,0.362,0.092,0.239,0.315,167.922,0.090,288.634
1,22,4194304,65536,8192,"0xec8f21eb3fe68452;0xba04e9bf87e7c677;0x737281b983504573;0xca90da9086e61e72",679868,10c49a175f2a513a,1,0,0.000,3.096,71.059,0.997,0.144,2.704,26.370,0.580,64.962,0.419,0.103,0.276,0.422,188.434,0.169,362.814
2,22,4194304,65536,8192,"0xec8f21eb3fe68452;0xba04e9bf87e7c677;0x737281b983504573;0xca90da9086e61e72",679868,10c49a175f2a513a,1,0,0.000,1.077,76.030,0.384,0.043,0.944,24.574,0.581,65.071,0.417,0.106,0.260,0.435,188.519,0.124,361.754
3,22,4194304,65536,8192,"0xec8f21eb3fe68452;0xba04e9bf87e7c677;0x737281b983504573;0xca90da9086e61e72",679868,10c49a175f2a513a,1,0,0.000,1.055,75.884,0.404,0.045,0.947,25.134,0.592,64.901,0.417,0.103,0.256,0.297,188.778,0.110,362.093
1,23,8388608,131072,16384,"0x4d923859d25a82a1;0xa270b3b3ee4a0f20;0x43a75a41eec3783b;0xc95f05a2c9e09982",756188,5f6556a11e613a82,1,0,0.000,3.334,135.996,1.367,0.225,3.900,39.579,1.355,77.717,0.503,0.114,0.296,0.518,211.032,0.181,479.789
2,23,8388608,131072,16384,"0x4d923859d25a82a1;0xa270b3b3ee4a0f20;0x43a75a41eec3783b;0xc95f05a2c9e09982",756188,5f6556a11e613a82,1,0,0.000,0.745,140.607,0.492,0.075,1.714,38.014,1.346,78.306,0.507,0.114,0.302,0.437,211.812,0.122,478.348
3,23,8388608,131072,16384,"0x4d923859d25a82a1;0xa270b3b3ee4a0f20;0x43a75a41eec3783b;0xc95f05a2c9e09982",756188,5f6556a11e613a82,1,0,0.000,1.242,140.882,0.489,0.075,1.682,38.011,1.347,77.933,0.503,0.117,0.288,0.346,211.732,0.140,478.440
1,24,16777216,262144,32768,"0xee1fa01c33376481;0x81c1177b7a28a431;0xcc8dcb1936315d79;0x0a41fd33a5510620",836604,a34756950efb6984,1,0,0.000,3.272,265.286,2.009,0.380,8.894,67.222,2.495,97.239,0.640,0.131,0.310,0.515,233.700,0.176,687.267
2,24,16777216,262144,32768,"0xee1fa01c33376481;0x81c1177b7a28a431;0xcc8dcb1936315d79;0x0a41fd33a5510620",836604,a34756950efb6984,1,0,0.000,0.714,268.751,0.674,0.141,6.515,66.502,2.507,97.359,0.641,0.133,0.302,0.341,233.370,0.148,683.340
3,24,16777216,262144,32768,"0xee1fa01c33376481;0x81c1177b7a28a431;0xcc8dcb1936315d79;0x0a41fd33a5510620",836604,a34756950efb6984,1,0,0.000,1.301,269.288,0.673,0.139,6.520,66.824,2.471,96.801,0.641,0.132,0.350,0.352,234.508,0.141,684.831
