run,scale,total_lde_elements,lde_rows,trace_rows,trace_root,proof_bytes,proof_fnv,verify,cpu_lde_ms,witness_io_ms,h2d_ms,gpu_trace_ms,gpu_inverse_ntt_ms,gpu_coset_ms,gpu_forward_ntt_ms,gpu_trace_merkle_ms,gpu_composition_ms,gpu_fri_merkle_ms,gpu_fri_fold_ms,gpu_openings_ms,d2h_compact_ms,serialization_ms,verification_ms,file_io_ms,total_ms
1,20,1048576,16384,2048,"0x497e153d6e9d6e2a;0x44105c9bf84e6af1;0x72fb0e27747412d1;0x59d0f6e5ccb64a56",539516,1a0614193dbbff79,1,0,0.000,3.121,22.830,0.285,0.025,0.462,13.358,0.191,47.324,0.321,0.090,0.239,0.378,148.846,0.000,240.112
2,20,1048576,16384,2048,"0x497e153d6e9d6e2a;0x44105c9bf84e6af1;0x72fb0e27747412d1;0x59d0f6e5ccb64a56",539516,1a0614193dbbff79,1,0,0.000,1.460,27.242,0.281,0.022,0.457,12.936,0.191,47.247,0.322,0.084,0.221,0.363,149.083,0.000,242.300
3,20,1048576,16384,2048,"0x497e153d6e9d6e2a;0x44105c9bf84e6af1;0x72fb0e27747412d1;0x59d0f6e5ccb64a56",539516,1a0614193dbbff79,1,0,0.000,1.267,27.091,0.288,0.022,0.461,12.898,0.190,47.341,0.320,0.088,0.211,0.249,149.048,0.000,241.848
4,20,1048576,16384,2048,"0x497e153d6e9d6e2a;0x44105c9bf84e6af1;0x72fb0e27747412d1;0x59d0f6e5ccb64a56",539516,1a0614193dbbff79,1,0,0.000,1.376,26.693,0.288,0.022,0.454,12.718,0.190,47.319,0.321,0.088,0.222,0.224,149.096,0.000,241.425
5,20,1048576,16384,2048,"0x497e153d6e9d6e2a;0x44105c9bf84e6af1;0x72fb0e27747412d1;0x59d0f6e5ccb64a56",539516,1a0614193dbbff79,1,0,0.000,0.864,26.278,0.284,0.023,0.462,13.029,0.191,47.347,0.321,0.089,0.212,0.213,148.853,0.000,240.508
1,21,2097152,32768,4096,"0x4d7c912463e58c43;0x523a139f67bfa0ea;0xa64bbf1b54c93fae;0x647111ba27f673ad",607644,55834c3b594ea9a9,1,0,0.000,2.567,38.900,0.336,0.032,0.640,16.045,0.274,55.358,0.369,0.100,0.252,0.406,168.038,0.000,286.069
2,21,2097152,32768,4096,"0x4d7c912463e58c43;0x523a139f67bfa0ea;0xa64bbf1b54c93fae;0x647111ba27f673ad",607644,55834c3b594ea9a9,1,0,0.000,1.022,43.533,0.323,0.028,0.628,15.820,0.262,55.257,0.365,0.094,0.251,0.405,168.377,0.000,289.437
3,21,2097152,32768,4096,"0x4d7c912463e58c43;0x523a139f67bfa0ea;0xa64bbf1b54c93fae;0x647111ba27f673ad",607644,55834c3b594ea9a9,1,0,0.000,1.049,44.167,0.326,0.029,0.624,16.073,0.267,55.255,0.363,0.093,0.241,0.312,168.294,0.000,290.018
4,21,2097152,32768,4096,"0x4d7c912463e58c43;0x523a139f67bfa0ea;0xa64bbf1b54c93fae;0x647111ba27f673ad",607644,55834c3b594ea9a9,1,0,0.000,1.052,43.818,0.326,0.029,0.625,15.875,0.268,55.378,0.365,0.092,0.243,0.256,168.817,0.000,290.077
5,21,2097152,32768,4096,"0x4d7c912463e58c43;0x523a139f67bfa0ea;0xa64bbf1b54c93fae;0x647111ba27f673ad",607644,55834c3b594ea9a9,1,0,0.000,1.041,43.661,0.321,0.029,0.625,16.104,0.263,55.296,0.364,0.092,0.248,0.269,168.610,0.000,289.826
1,22,4194304,65536,8192,"0xec8f21eb3fe68452;0xba04e9bf87e7c677;0x737281b983504573;0xca90da9086e61e72",679868,10c49a175f2a513a,1,0,0.000,2.864,70.595,0.403,0.047,0.970,25.106,0.594,65.184,0.423,0.105,0.287,0.437,188.164,0.000,358.186
2,22,4194304,65536,8192,"0xec8f21eb3fe68452;0xba04e9bf87e7c677;0x737281b983504573;0xca90da9086e61e72",679868,10c49a175f2a513a,1,0,0.000,1.022,75.259,0.393,0.046,0.951,25.579,0.582,64.793,0.419,0.103,0.256,0.430,188.556,0.000,361.512
3,22,4194304,65536,8192,"0xec8f21eb3fe68452;0xba04e9bf87e7c677;0x737281b983504573;0xca90da9086e61e72",679868,10c49a175f2a513a,1,0,0.000,1.090,75.406,0.395,0.044,0.954,25.229,0.577,65.121,0.420,0.104,0.277,0.317,188.740,0.000,362.008
4,22,4194304,65536,8192,"0xec8f21eb3fe68452;0xba04e9bf87e7c677;0x737281b983504573;0xca90da9086e61e72",679868,10c49a175f2a513a,1,0,0.000,1.054,75.224,0.390,0.046,0.955,25.194,0.579,65.047,0.419,0.103,0.259,0.273,188.332,0.000,361.013
5,22,4194304,65536,8192,"0xec8f21eb3fe68452;0xba04e9bf87e7c677;0x737281b983504573;0xca90da9086e61e72",679868,10c49a175f2a513a,1,0,0.001,1.067,76.193,0.393,0.045,0.954,25.213,0.581,65.380,0.420,0.104,0.261,0.265,188.610,0.000,362.607
1,23,8388608,131072,16384,"0x4d923859d25a82a1;0xa270b3b3ee4a0f20;0x43a75a41eec3783b;0xc95f05a2c9e09982",756188,5f6556a11e613a82,1,0,0.000,2.882,136.368,0.492,0.079,1.685,38.601,1.356,77.879,0.505,0.124,0.313,0.462,210.194,0.000,474.567
2,23,8388608,131072,16384,"0x4d923859d25a82a1;0xa270b3b3ee4a0f20;0x43a75a41eec3783b;0xc95f05a2c9e09982",756188,5f6556a11e613a82,1,0,0.000,1.239,141.225,0.484,0.075,1.675,38.259,1.342,77.840,0.504,0.121,0.325,0.417,210.306,0.000,477.070
3,23,8388608,131072,16384,"0x4d923859d25a82a1;0xa270b3b3ee4a0f20;0x43a75a41eec3783b;0xc95f05a2c9e09982",756188,5f6556a11e613a82,1,0,0.000,0.830,140.475,0.501,0.077,1.682,38.354,1.346,78.068,0.508,0.121,0.276,0.303,209.998,0.000,476.063
4,23,8388608,131072,16384,"0x4d923859d25a82a1;0xa270b3b3ee4a0f20;0x43a75a41eec3783b;0xc95f05a2c9e09982",756188,5f6556a11e613a82,1,0,0.000,1.240,141.034,0.485,0.074,1.695,38.002,1.346,78.195,0.504,0.115,0.286,0.303,210.212,0.000,477.028
5,23,8388608,131072,16384,"0x4d923859d25a82a1;0xa270b3b3ee4a0f20;0x43a75a41eec3783b;0xc95f05a2c9e09982",756188,5f6556a11e613a82,1,0,0.000,0.994,141.274,0.497,0.074,1.680,38.795,1.346,78.040,0.507,0.120,0.286,0.340,210.628,0.000,477.805
1,24,16777216,262144,32768,"0xee1fa01c33376481;0x81c1177b7a28a431;0xcc8dcb1936315d79;0x0a41fd33a5510620",836604,a34756950efb6984,1,0,0.000,3.019,265.713,0.682,0.141,6.535,67.774,2.477,96.945,0.636,0.131,0.325,0.439,232.985,0.000,682.637
2,24,16777216,262144,32768,"0xee1fa01c33376481;0x81c1177b7a28a431;0xcc8dcb1936315d79;0x0a41fd33a5510620",836604,a34756950efb6984,1,0,0.000,1.179,269.951,0.667,0.138,6.512,66.775,2.474,97.486,0.637,0.133,0.316,0.325,233.910,0.000,685.608
3,24,16777216,262144,32768,"0xee1fa01c33376481;0x81c1177b7a28a431;0xcc8dcb1936315d79;0x0a41fd33a5510620",836604,a34756950efb6984,1,0,0.000,0.784,269.930,0.675,0.139,6.536,67.027,2.443,97.259,0.641,0.133,0.321,0.332,232.726,0.000,683.481
4,24,16777216,262144,32768,"0xee1fa01c33376481;0x81c1177b7a28a431;0xcc8dcb1936315d79;0x0a41fd33a5510620",836604,a34756950efb6984,1,0,0.000,1.381,268.904,0.668,0.134,6.491,66.759,2.486,97.160,0.637,0.131,0.314,0.319,233.071,0.000,682.777
5,24,16777216,262144,32768,"0xee1fa01c33376481;0x81c1177b7a28a431;0xcc8dcb1936315d79;0x0a41fd33a5510620",836604,a34756950efb6984,1,0,0.000,0.771,269.511,0.678,0.140,6.525,66.965,2.446,97.548,0.643,0.133,0.302,0.337,232.588,0.000,682.864
1,25,33554432,524288,65536,"0x3623ba2a5e159e31;0x7c82292328f2accb;0x059af422d2c1c6c9;0x13e1ee096a0eaf23",921116,9df9be926c342d5c,1,0,0.000,3.412,525.092,1.030,0.276,14.807,121.633,4.295,128.359,0.883,0.140,0.344,0.516,258.615,0.000,1066.073
2,25,33554432,524288,65536,"0x3623ba2a5e159e31;0x7c82292328f2accb;0x059af422d2c1c6c9;0x13e1ee096a0eaf23",921116,9df9be926c342d5c,1,0,0.000,0.669,528.688,1.017,0.272,14.649,121.597,4.499,127.768,0.874,0.139,0.331,0.338,257.069,0.000,1064.440
3,25,33554432,524288,65536,"0x3623ba2a5e159e31;0x7c82292328f2accb;0x059af422d2c1c6c9;0x13e1ee096a0eaf23",921116,9df9be926c342d5c,1,0,0.000,1.382,529.072,1.016,0.271,14.743,121.095,4.521,128.771,0.873,0.142,0.354,0.349,256.715,0.000,1065.501
4,25,33554432,524288,65536,"0x3623ba2a5e159e31;0x7c82292328f2accb;0x059af422d2c1c6c9;0x13e1ee096a0eaf23",921116,9df9be926c342d5c,1,0,0.000,1.150,528.210,1.018,0.276,14.820,121.679,4.474,128.221,0.877,0.137,0.347,0.354,257.092,0.000,1064.739
5,25,33554432,524288,65536,"0x3623ba2a5e159e31;0x7c82292328f2accb;0x059af422d2c1c6c9;0x13e1ee096a0eaf23",921116,9df9be926c342d5c,1,0,0.000,1.143,528.593,1.017,0.275,14.759,121.924,4.462,127.806,0.872,0.140,0.352,0.367,256.861,0.000,1064.735
1,26,67108864,1048576,131072,"0xb2682adc0838fe47;0x69c8044b66f23e15;0x73b1b0318a651ff4;0x719c07b6545644a9",1009724,64189b8c8ca3673c,1,0,0.000,3.249,1044.053,1.800,0.655,34.877,235.169,8.445,183.299,1.340,0.160,0.425,0.558,282.991,0.000,1807.356
2,26,67108864,1048576,131072,"0xb2682adc0838fe47;0x69c8044b66f23e15;0x73b1b0318a651ff4;0x719c07b6545644a9",1009724,64189b8c8ca3673c,1,0,0.000,1.524,1044.642,2.681,0.651,34.436,234.339,8.421,182.842,1.332,0.155,0.412,0.501,283.191,0.000,1805.099
3,26,67108864,1048576,131072,"0xb2682adc0838fe47;0x69c8044b66f23e15;0x73b1b0318a651ff4;0x719c07b6545644a9",1009724,64189b8c8ca3673c,1,0,0.000,1.717,1046.070,2.614,0.643,34.708,233.716,8.497,183.376,1.345,0.157,0.389,0.490,283.394,0.000,1805.776
4,26,67108864,1048576,131072,"0xb2682adc0838fe47;0x69c8044b66f23e15;0x73b1b0318a651ff4;0x719c07b6545644a9",1009724,64189b8c8ca3673c,1,0,0.000,1.204,1047.194,2.693,0.666,34.196,234.303,8.327,183.328,1.341,0.157,0.397,0.448,283.773,0.000,1806.542
5,26,67108864,1048576,131072,"0xb2682adc0838fe47;0x69c8044b66f23e15;0x73b1b0318a651ff4;0x719c07b6545644a9",1009724,64189b8c8ca3673c,1,0,0.000,1.205,1046.656,2.801,0.642,34.190,234.248,8.488,182.549,1.339,0.157,0.371,0.441,283.850,0.000,1805.517
1,27,134217728,2097152,262144,"0xb1d57278bcd3dbd0;0x380b6f649cdbf5e8;0x7cd2b78fff206e69;0xa55a7d3099b18fd7",1102428,ad0ac11538a7365a,1,0,0.000,3.908,2083.221,7.916,1.862,66.363,477.559,16.323,284.632,2.254,0.171,0.508,0.744,312.280,0.000,3274.926
2,27,134217728,2097152,262144,"0xb1d57278bcd3dbd0;0x380b6f649cdbf5e8;0x7cd2b78fff206e69;0xa55a7d3099b18fd7",1102428,ad0ac11538a7365a,1,0,0.000,1.647,2085.093,7.948,1.873,65.791,477.822,16.592,285.247,2.253,0.174,0.418,0.427,308.103,0.000,3268.891
3,27,134217728,2097152,262144,"0xb1d57278bcd3dbd0;0x380b6f649cdbf5e8;0x7cd2b78fff206e69;0xa55a7d3099b18fd7",1102428,ad0ac11538a7365a,1,0,0.001,1.503,2080.623,7.772,1.823,65.672,477.840,16.316,285.669,2.272,0.174,0.413,0.417,309.315,0.000,3263.937
4,27,134217728,2097152,262144,"0xb1d57278bcd3dbd0;0x380b6f649cdbf5e8;0x7cd2b78fff206e69;0xa55a7d3099b18fd7",1102428,ad0ac11538a7365a,1,0,0.000,1.981,2084.281,7.946,1.882,65.386,479.573,16.362,285.441,2.245,0.173,0.394,0.422,312.296,0.000,3272.161
5,27,134217728,2097152,262144,"0xb1d57278bcd3dbd0;0x380b6f649cdbf5e8;0x7cd2b78fff206e69;0xa55a7d3099b18fd7",1102428,ad0ac11538a7365a,1,0,0.000,2.009,2084.554,7.811,1.888,65.479,479.483,16.474,285.350,2.257,0.173,0.414,0.445,311.594,0.000,3272.229
